ID,FECHA,GERENCIA CAM,SUB GERENCIA CAM,AREA DE CAM,EMPRESA CONTRATISTA,Nº ENC,Q NC,N IPAL,CIERRE
"299","05-2014","Gerencia Operaciones","Servicios de Distribucion","Mantenimiento Aereo","CAM Chile S.A","1","0","0","N/A"
"184","05-2014","Gerencia Operaciones","Servicios de Distribucion","Servicios de Emergencia"," -- SIN CONTRATISTA -- ","1","1","20","ABIERTA"
"210","05-2014","Gerencia Operaciones","Servicios de Distribucion","Servicios de Emergencia"," -- SIN CONTRATISTA -- ","1","4","50","ABIERTA"
"211","05-2014","Gerencia Operaciones","Servicios de Distribucion","Servicios de Emergencia"," -- SIN CONTRATISTA -- ","1","1","20","ABIERTA"
"284","05-2014","Gerencia Operaciones","Servicios de Distribucion","Servicios de Emergencia"," -- SIN CONTRATISTA -- ","1","0","0","N/A"
"285","05-2014","Gerencia Operaciones","Servicios de Distribucion","Servicios de Emergencia"," -- SIN CONTRATISTA -- ","1","0","0","N/A"
"93","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","SOT (Civil - Electrico)","CAM Chile S.A","1","2","20","ABIERTA"
"94","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","SOT (Civil - Electrico)","CAM Chile S.A","1","2","20","ABIERTA"
"95","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","SOT (Civil - Electrico)","CAM Chile S.A","1","2","20","ABIERTA"
"296","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","Eléctrica","RAMIRO CEA","1","0","0","N/A"
"90","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","Eléctrica","SILVA & CIA","1","1","20","ABIERTA"
"97","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","Eléctrica","SILVA & CIA","1","1","20","ABIERTA"
